file,npaths,nss,time_s,nodes,edges,k_max
randomBN_20N24E2KMAX_8.bnet,282,14,0.1307592391967773,20,24,2
randomBN_20N40E4KMAX_19.bnet,1029,15,0.1372487545013427,20,40,4
randomBN_20N52E5KMAX_14.bnet,890,12,0.1363701820373535,20,52,5
randomBN_20N28E2KMAX_15.bnet,134,16,0.1433858871459961,20,28,2
randomBN_20N28E2KMAX_11.bnet,224,16,0.1439096927642822,20,28,2
randomBN_20N47E4KMAX_12.bnet,2216,16,0.1462020874023437,20,47,4
randomBN_20N24E2KMAX_3.bnet,298,16,0.1491034030914306,20,24,2
randomBN_20N24E2KMAX_20.bnet,290,16,0.1500196456909179,20,24,2
randomBN_20N23E2KMAX_18.bnet,80,16,0.1525487899780273,20,23,2
randomBN_20N23E2KMAX_6.bnet,52,16,0.1556594371795654,20,23,2
randomBN_20N56E5KMAX_20.bnet,5385,14,0.1627862453460693,20,56,5
randomBN_40N122E5KMAX_12.bnet,14343,4,0.1543104648590088,40,122,5
randomBN_60N85E2KMAX_4.bnet,160,1,0.057615041732788,60,85,2
randomBN_40N56E2KMAX_6.bnet,324,6,0.1637995243072509,40,56,2
randomBN_20N42E4KMAX_10.bnet,970,20,0.1876795291900634,20,42,4
randomBN_40N100E5KMAX_19.bnet,21089,5,0.1901006698608398,40,100,5
randomBN_40N96E5KMAX_13.bnet,8164,7,0.2077307701110839,40,96,5
randomBN_40N61E2KMAX_19.bnet,4,8,0.2044548988342285,40,61,2
randomBN_20N27E2KMAX_10.bnet,80,24,0.2152130603790283,20,27,2
randomBN_40N56E2KMAX_16.bnet,1040,8,0.2132651805877685,40,56,2
randomBN_40N56E2KMAX_7.bnet,260,8,0.2139222621917724,40,56,2
randomBN_40N56E2KMAX_2.bnet,536,8,0.2164418697357177,40,56,2
randomBN_40N92E4KMAX_19.bnet,1837,8,0.2196817398071289,40,92,4
randomBN_40N87E4KMAX_9.bnet,1447,8,0.218930959701538,40,87,4
randomBN_20N31E3KMAX_5.bnet,324,24,0.2251322269439697,20,31,3
randomBN_40N56E2KMAX_10.bnet,24,8,0.2215452194213867,40,56,2
randomBN_40N55E2KMAX_11.bnet,724,8,0.2223525047302246,40,55,2
randomBN_40N98E4KMAX_18.bnet,3114,8,0.2266187667846679,40,98,4
randomBN_40N110E5KMAX_17.bnet,26806,4,0.2255911827087402,40,110,5
randomBN_40N102E5KMAX_10.bnet,5838,8,0.2286417484283447,40,102,5
randomBN_40N79E3KMAX_20.bnet,7570,8,0.2277412414550781,40,79,3
randomBN_40N68E3KMAX_3.bnet,1336,8,0.229419469833374,40,68,3
randomBN_40N98E4KMAX_7.bnet,6076,8,0.2298827171325683,40,98,4
randomBN_20N60E5KMAX_7.bnet,17778,18,0.232018232345581,20,60,5
randomBN_60N118E3KMAX_16.bnet,2132,2,0.1053011417388916,60,118,3
randomBN_40N78E3KMAX_10.bnet,1638,9,0.2344777584075927,40,78,3
randomBN_40N100E5KMAX_8.bnet,180,8,0.2380950450897216,40,100,5
randomBN_40N75E3KMAX_8.bnet,2066,10,0.241213321685791,40,75,3
randomBN_40N85E3KMAX_12.bnet,10135,8,0.2424702644348144,40,85,3
randomBN_40N80E3KMAX_14.bnet,13824,8,0.24285888671875,40,80,3
randomBN_40N55E2KMAX_5.bnet,660,10,0.2733802795410156,40,55,2
randomBN_40N72E3KMAX_2.bnet,746,10,0.2805652618408203,40,72,3
randomBN_40N118E5KMAX_9.bnet,20630,8,0.2972419261932373,40,118,5
randomBN_40N80E3KMAX_6.bnet,4140,12,0.3060643672943115,40,80,3
randomBN_40N102E5KMAX_16.bnet,8870,11,0.3141236305236816,40,102,5
randomBN_60N94E2KMAX_14.bnet,1166,4,0.2014918327331543,60,94,2
randomBN_40N56E2KMAX_14.bnet,1052,12,0.3236124515533447,40,56,2
randomBN_60N87E2KMAX_10.bnet,2002,4,0.222532033920288,60,87,2
